** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.1.0.26611
File Revision:	C
Measured File
Sun Nuclear Corporation
1175 MapCHECK

FileName:	2019-11-21 20e 20x20 100mu no-buildup 180coll fla_symm.txt
Firmware Version:	26
Hardware Revision:	C
Diode Type:	4294967295

Date:	11/21/19	Time:	18:05:16
Serial No:	5221003

Overrange Error:	0

Cal File:	6Xcal_1-16-10.cal

Dose per Count:	0.01323825313
Dose Info:	6x       20x20 fs 100mu 100ssd
Dose IDDC:	1558465910

Time:	2388

Orientation:	0

Rows:	45
Cols:	45
CAX X:	23
CAX Y:	23

Background
Ycm	ROW	
11.0	45	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.003196590303676	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	44	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.0	43	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001864677677144	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.001864677677144	0.000000000000000	0.001864677677144	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
9.5	42	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
9.0	41	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.005327650506127	0.000000000000000	0.001864677677144	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.001598295151838	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.002397442727757	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
8.5	40	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001864677677144	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
8.0	39	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.000000000000000	0.000000000000000	0.001598295151838	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.001598295151838	0.000000000000000	0.001864677677144	0.000000000000000	0.000000000000000	0.000000000000000	0.001598295151838	0.000000000000000	0.000000000000000	0.000000000000000	0.003462972828982	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000532765050613	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
7.5	38	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
7.0	37	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.001598295151838	0.000000000000000	0.003196590303676	0.000000000000000	0.000000000000000	0.000000000000000	0.003462972828982	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.001864677677144	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.001598295151838	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.012253596164092	0.000000000000000	0.000000000000000
6.5	36	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
