** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.1.0.26611
File Revision:	C
Measured File
Sun Nuclear Corporation
1175 MapCHECK

FileName:	25-Nov-2019-F and S - 6X
Firmware Version:	26
Hardware Revision:	C
Diode Type:	4294967295

Date:	11/25/19	Time:	11:43:50
Serial No:	5221003

Overrange Error:	0

Cal File:	6Xcal_1-16-10.cal

Dose per Count:	0.01323825313
Dose Info:	6x       20x20 fs 100mu 100ssd
Dose IDDC:	1558465910

Time:	4247

Orientation:	0

Rows:	45
Cols:	45
CAX X:	23
CAX Y:	23

Background
Ycm	ROW	
11.0	45	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.002132196162047	0.000000000000000	0.000000000000000	0.000000000000000	0.001066098081023	0.000000000000000	0.000000000000000	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	44	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.0	43	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002665245202559	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.001332622601279	0.000000000000000	0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
9.5	42	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
9.0	41	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.004264392324094	0.000000000000000	0.001066098081023	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.000000000000000	0.000000000000000	-0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.001066098081023	0.000000000000000	0.000000000000000	0.000000000000000	0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.001599147121535	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
8.5	40	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001599147121535	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
8.0	39	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266524520256	0.000000000000000	0.000799573560768	0.000000000000000	0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.001599147121535	0.000000000000000	0.000799573560768	0.000000000000000	0.001599147121535	0.000000000000000	0.000000000000000	0.000000000000000	0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.004797441364606	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000533049040512	0.000000000000000	0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
7.5	38	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002398720682303	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
7.0	37	0.000000000000000	0.000000000000000	-0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.001066098081023	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	0.002665245202559	0.000000000000000	0.000000000000000	0.000000000000000	0.000266524520256	0.000000000000000	0.000000000000000	0.000000000000000	0.001066098081023	0.000000000000000	0.000000000000000	0.000000000000000	0.001865671641791	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000799573560768	0.000000000000000	0.000799573560768	0.000000000000000	0.000533049040512	0.000000000000000	0.000000000000000	0.000000000000000	0.013326226012793	0.000000000000000	0.000000000000000
6.5	36	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002132196162047	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001332622601279	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
