** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	28-Feb-2020-A 6x profile
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.356, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	02/28/20	Time:	15:41:41
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11000

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.200413292004133	0.000000000000000	1.836249708362497	0.000000000000000	2.678398826783988	0.000000000000000	2.565243475652435	0.000000000000000	2.503016365030164	0.000000000000000	2.800686598006866	0.000000000000000	1.867746558677466	0.000000000000000	2.809885678098857	0.000000000000000	3.410158984101590	0.000000000000000	3.340032663400327	0.000000000000000	2.145652101456521	0.000000000000000	2.263873612638736	0.000000000000000	2.469219744692198	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.477818884778189	0.000000000000000	3.047561910475619	0.000000000000000	2.526214045262141	0.000000000000000	2.041729160417292	0.000000000000000	2.811218878112189	0.000000000000000	2.797586907975869	0.000000000000000	2.659934006599340	0.000000000000000	2.041062560410626	0.000000000000000	3.155584441555844	0.000000000000000	2.634636536346366	0.000000000000000	2.601773156017732	0.000000000000000	3.180148651801487	0.000000000000000	1.961937139619371	0.000000000000000	1.944472219444722	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.511582175115822	0.000000000000000	2.756957637569577	0.000000000000000	2.240009332400093	0.000000000000000	2.225844082258441	0.000000000000000	2.108289171082892	0.000000000000000	2.937706229377062	0.000000000000000	2.711428857114289	0.000000000000000	2.615871746158717	0.000000000000000	2.934639869346399	0.000000000000000	3.014431890144319	0.000000000000000	2.523347665233477	0.000000000000000	2.828717128287171	0.000000000000000	1.925707429257074	0.000000000000000	2.290337632903376	0.000000000000000	2.260640602606406	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.675132486751325	0.000000000000000	2.342265773422658	0.000000000000000	2.399226743992267	0.000000000000000	1.773755957737560	0.000000000000000	2.640435956404359	0.000000000000000	2.707195947071960	0.000000000000000	2.528413825284138	0.000000000000000	2.162183781621838	0.000000000000000	2.086424690864247	0.000000000000000	1.725827417258274	0.000000000000000	2.916941639169417	0.000000000000000	2.318834783188348	0.000000000000000	2.741825817418258	0.000000000000000	1.682798386827984	0.000000000000000	2.658667466586675	0.000000000000000	2.419358064193581	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.736393027363930	0.000000000000000	2.935139819351398	0.000000000000000	2.643002366430024	0.000000000000000	2.582208445822085	0.000000000000000	2.450654934506549	0.000000000000000	2.437789554377896	0.000000000000000	2.576708995767090	0.000000000000000	2.139619371396194	0.000000000000000	1.881311868813119	0.000000000000000	1.789521047895210	0.000000000000000	1.833649968336500	0.000000000000000	2.409359064093591	0.000000000000000	3.133553311335533	0.000000000000000	3.556677665566776	0.000000000000000	2.481485184814852	0.000000000000000	2.258040862580409	0.000000000000000	2.866846648668466	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.464553544645535	0.000000000000000	2.111222211112222	0.000000000000000	2.146152051461521	0.000000000000000	2.868179848681799	0.000000000000000	2.285904742859048	0.000000000000000	2.246542012465420	0.000000000000000	2.282738392827384	0.000000000000000	2.430756924307569	0.000000000000000	1.728393827283938	0.000000000000000	2.552511415525114	0.000000000000000	2.389127753891278	0.000000000000000	2.990834249908342	0.000000000000000	3.236609672366097	0.000000000000000	3.287904542879045	0.000000000000000	2.209479052094791	0.000000000000000	2.926074059260741	0.000000000000000	2.845515448455155	0.000000000000000	2.186747991867480	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.595607105956071	0.000000000000000	2.644568876445689	0.000000000000000	3.038329500383295	0.000000000000000	2.940039329400393	0.000000000000000	2.890310968903110	0.000000000000000	2.467386594673866	0.000000000000000	2.561077225610772	0.000000000000000	2.857514248575142	0.000000000000000	2.736359697363597	0.000000000000000	1.898743458987435	0.000000000000000	2.932873379328734	0.000000000000000	2.090824250908243	0.000000000000000	1.851948138519481	0.000000000000000	2.403259674032597	0.000000000000000	3.054361230543612	0.000000000000000	2.270139652701396	0.000000000000000	2.613805286138053	0.000000000000000	2.586008065860081	0.000000000000000	2.694663866946639	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.654401226544012	0.000000000000000	2.395493783954938	0.000000000000000	2.171949471719495	0.000000000000000	3.063993600639936	0.000000000000000	2.336899643368997	0.000000000000000	2.648801786488018	0.000000000000000	2.708329167083292	0.000000000000000	2.148851781488518	0.000000000000000	2.522581075225811	0.000000000000000	2.308035863080359	0.000000000000000	2.604639536046395	0.000000000000000	1.843115688431157	0.000000000000000	2.116155051161551	0.000000000000000	2.928073859280738	0.000000000000000	3.011132220111322	0.000000000000000	2.520614605206146	0.000000000000000	3.308335833083358	0.000000000000000	2.521381195213812	0.000000000000000	2.668499816684998	0.000000000000000	2.521181215211812	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.803952938039529	0.000000000000000	2.275672432756724	0.000000000000000	2.599440055994401	0.000000000000000	2.655034496550345	0.000000000000000	2.997433589974336	0.000000000000000	3.504949505049495	0.000000000000000	3.126387361263874	0.000000000000000	2.491417524914175	0.000000000000000	2.206979302069793	0.000000000000000	2.332966703329667	0.000000000000000	3.195980401959804	0.000000000000000	2.619838016198380	0.000000000000000	3.220611272206113	0.000000000000000	3.502016465020165	0.000000000000000	2.471586174715862	0.000000000000000	2.316368363163684	0.000000000000000	2.749225077492251	0.000000000000000	2.437056294370563	0.000000000000000	2.098956770989568	0.000000000000000	2.101723161017232	0.000000000000000	2.262707062627070	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.942405759424058	0.000000000000000	2.091890810918908	0.000000000000000	1.879545378795454	0.000000000000000	2.176815651768157	0.000000000000000	2.841115888411159	0.000000000000000	3.297436922974369	0.000000000000000	2.321634503216345	0.000000000000000	3.585974735859748	0.000000000000000	2.715061827150618	0.000000000000000	2.166616671666167	0.000000000000000	1.927607239276072	0.000000000000000	2.638469486384695	0.000000000000000	2.526614005266140	0.000000000000000	2.647301936473019	0.000000000000000	1.950571609505716	0.000000000000000	2.641369196413692	0.000000000000000	2.704929507049295	0.000000000000000	2.690064326900643	0.000000000000000	2.842082458420824	0.000000000000000	3.097923540979235	0.000000000000000	1.914541879145419	0.000000000000000	1.891444188914442	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
